"","X.1","X","ResponseId","Q141_First.Click","Q141_Last.Click","Q141_Page.Submit","Q141_Click.Count","label1_1","label2_1","label3_1","severe","likelihood1","likelihood2","likelihood3","likelihood4","adjustMyTreatment1","adjustMyTreatment2","adjustMyTreatment3","adjustMyTreatment4","concernsOpen","treat1_1","treat2_1","treatSum_1","treatAvg_1","treatmentWhy_1","initiative_1","exaggerate_1","honest_1","clearer_1","givingUp_1","lazy_1","motivated_1","healthImproves_1","attributions_1","treat1_2","treat2_2","treatSum_2","treatAvg_2","treatmentWhy_2","initiative_2","exaggerate_2","honest_2","clearer_2","givingUp_2","lazy_2","motivated_2","healthImproves_2","attributions_2","moveForwardOpen","label1_2","label2_2","label3_2","ladderDave","insurance_Patient","incomeDave","ed_Patient","manipulationCheck","healthLit_Patient","perspective1","perspective2","perspective3","perspective4","perspective5","perspective6","age_Self","gender_Self","gender_5_TEXT","race_Self","race_6_TEXT","race_7_TEXT","ladder_Self","income_Self","incomeYouth","ed_Own","ed_Dad","ed_Mom","politics_Self","telemed","patient","conditionRace","conditionSES","likelihood2Recode","likelihood3Recode","bias","raceFactor","incomeFactor","edParent","treatRecode1_1","treatRecode2_1","treatRecode1_2","treatRecode2_2","study","Duration..in.seconds.","Finished","RecordedDate","patientId_1","feelingTherm_1_1","feelingTherm_1_2","feelingTherm_1_3","feelingTherm_1_4","feelingTherm_1_5","feelingTherm_1_6","feelingTherm_1_7","feelingTherm_1_8","feelingTherm_1_9","feelingTherm_1_10","feelingTherm_1_11","therm_1","therm_2","therm_3","therm_4","therm_5","therm_6","therm_7","therm_8","therm_9","therm_10","therm_11","feelingTherm","incapable_1","deserve_1","difficult_1","busy_1","intelligent_1","notes_1","incapable_2","deserve_2","difficult_2","busy_2","intelligent_2","notes_2","ladder_Patient","income_Patient","idRecall_1","idRecall_2","idRecall_3","load_Effort_1","load_Difficulty_1","gender_Self_5_TEXT","race_Self_6_TEXT","race_Self_7_TEXT","income_Youth","Patient2Name","Condition","Patient2","aid","cogLoad","loadCondition","manipulationCheck_m","manipulationCheck_f","Gender","SES","jobTitle","jobTitle_6_TEXT","specialtyField","ladder_Childhood","politics_Own","yearsWork_1","specialty","jobTitle.1","yearsWorkCurrent_1","workWhere","workInsurancePercent_1","trainingDegree","trainingWhere","trainingWhere_US","trainingWhere_notUS","ref","Race"
"1",1,1,"R_3kpnKRIIihnQ5Ai",0,0,4.728,0,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"White High SES","White","High SES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,2,"R_VOIDJwjsa8TsJI5",0,0,12.263,0,"well-dressed","businessman","dapper",3,4,3,4,2,4,2,2,3,"If Dave's attire is an indication of his professional lifestyle, Dave seems like he might be very busy! It might be hard for Dave to schedule appointments around his professional obligations. ",7,8,2,1,"Dave is having sharp pain but not necessarily unbearable pain. I would start Dave out with Tier 1 medications and see how he responds before moving to more advanced medication. I would also recommend further testing/imaging to be performed so we can figure out what might be causing Dave's lower back pain.",4,3,4,2,2,2,2,4,5,7,8,2,1,"I would still start on Tier 1 for the same reasons as before. I would further stress that Dave can only expect results if he follows my treatment plan but for now we're going to continue with Tier 1 medications before moving on to more advanced medications such as Opioids.",4,3,3,1,3,3,2,4,2,"I would further stress that Dave will not get better unless he follows my treatment plan. I would maintain my Tier 1 plan (OTC Acetaminophen & Topical Gel) and see how it works with Dave following recommendations before moving on to Tier 2. I would also recommend Dave to get further imaging/evaluation done on his back to see if we could treat his back pain without medication going forward since he seems to not be able to maintain a rigid medication schedule.","dapper","absent minded","busy",7,1,6,3,"Dave",5,3,2,2,3,3,3,26,"Male","",1,"","",6,6,6,3,3,3,2,4,"Black High SES","Black","High SES",3,2,5,"White/Caucasian","$100,001 - $150,000",3,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,3,"R_2CJUpNuCw0jTwwk",0,0,6.451,0,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"White High SES","White","High SES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,4,"R_3CE2mfyRQyhYscs",10.453,10.453,10.858,1,"pain","lower","back",2,4,4,4,3,4,4,4,4,"If the treatment affects their daily livelihood/emplyoment",5,6,4,2,"Not too extreme, but still more effective than over-the-counter treatment",5,3,2,2,1,3,2,5,2,5,7,3,1.5,"time concerns",5,3,3,2,1,4,2,5,1,"setup treatments at the clinic (possibly weekly)","forgetful","adhd","neglectful",5,3,5,2,"Dave",2,2,3,3,4,3,3,20,"Male","",2,"","",8,7,7,3,4,4,2,4,"White Low SES","White","Low SES",2,2,4,"Asian/Asian American","greater than $150,000",4,2,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,5,"R_3G7BsnohAVi8g4i",0,0,6.565,0,"male","adult","back pain",3,4,3,2,2,3,3,2,2,"Him carrying out my reccomendations",7,8,2,1,"Because he didn't mention having treatment before so I would start with the most minimally harsh",4,4,4,2,3,4,2,3,5,7,8,2,1,"He didn't do them last time so he should try again",5,4,5,1,4,4,1,1,5,"Tell him to follow instructions or he's not going to get better","annoying","doesn't follow rules","exaggerated",7,1,5,3,"Dave",5,2,2,2,4,2,4,20,"Female","",1,"","",7,1,5,2,3,3,2,1,"White High SES","White","High SES",3,4,7,"White/Caucasian","less than $15,000",3,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,6,"R_1rcf51I6jfRsLqF",10.492,10.492,10.723,1,"average","anemic","sad",3,2,4,3,3,4,4,4,4,"support system and obstacles towards compliance",5,7,3,1.5,"opiods are no joke. start with the least risky treatment",2,3,3,4,3,3,3,4,2,6,8,3,1.5,"Alternatives within same tier. You didn't put this thought in my head earlier, but now that i see opioids on the treatment list, I am worried he wants opioids for bad reasons. ",4,3,3,3,4,3,2,4,2,"refer him to another doctor","weak","excuses","suspicious",2,4,1,2,"Dave",2,5,3,3,4,2,4,20,"Male","",2,"","",8,7,6,3,4,4,5,3,"White Low SES","White","Low SES",2,3,5,"Asian/Asian American","greater than $150,000",4,2,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,7,"R_2wttr0tWAGJpBSX",0,0,35.356,0,"Healthy ","Mindful","American",4,4,4,4,2,4,4,4,4,"Making his pain better",7,8,2,1,"Because I don't know how serious his pain is and the cause so I wouldn't want to prescribe opioids",2,2,4,4,2,3,2,4,4,5,6,4,2,"Since the last medication didn't work, I would prescribe something a little stronger",5,3,4,2,4,4,2,3,1,"I would keep the same medication but tell him to follow my recommendations","Lazy","Not taking initiative ","Annoying",9,2,6,3,"Dave",2,2,2,2,2,2,4,20,"Female","",2,"","",9,7,7,2,4,3,6,2,"White High SES","White","High SES",2,2,4,"Asian/Asian American","greater than $150,000",3.5,1,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,8,"R_2aaeDNP8lpqrTSB",0,0,13.775,0,"male","tall","young",4,3,3,3,3,3,3,1,1,"I would need to know his financial capabilities, and how close his is to resources. ",6,7,3,1.5,"I was not given enough information to know the type of pain he is feeling, and if it is muscle, organ, etc. ",5,3,4,3,1,3,4,5,4,7,8,2,1,"I feel that he needs to find the time to take his prescriptions so he can improve and feel less pain. ",4,3,5,2,1,3,2,5,2,"I would keep trying to give him recommendations to try to improve his health. ","male","forgetful ","young",8,3,6,4,"Dave",4,3,3,3,3,3,3,18,"Female","",1,"","",7,6,6,2,3,3,4,3,"Black Low SES","Black","Low SES",3,3,6,"White/Caucasian","$100,001 - $150,000",3,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,9,"R_12rJMLiumzUx2jm",0,0,10.977,0,"old","pain","discomfort",4,3,2,2,2,4,4,4,4,"His ability to follow instructions. ",3,8,4,2,"One is external and the other is internal, in case one doesn't work, the work might help a little. ",4,4,3,2,1,3,2,4,1,1,2,8,4,"If he doesn't have the will to improve his health through treatment methods controlled by himself, then it might be necessary for me to be slightly more assertive to help him. ",5,4,3,2,1,4,1,5,1,"I would explain the importance of treating his pain and give him the last opportunity to do so. ","old","pain","discomfort",5,4,4,2,"Dave",3,2,2,2,2,2,2,18,"Male","",2,"","",3,2,2,2,1,2,2,3,"Black High SES","Black","High SES",4,4,8,"Asian/Asian American","$15,000 - $30,000",1.5,3,1,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,10,"R_1hLtGKvg9eCJY3C",0,0,5.77,0,"Sorry","When","Pain",4,2,4,4,1,4,4,2,4,"If he has any other types of medical conditions and what his financial ability is ",5,6,4,2,"I would recommend starting low and then moving upwards but not OTC because he may have already tried that",4,2,5,4,1,2,2,4,2,5,6,4,2,"He needs to actually follow through with what I suggested",5,2,5,1,4,4,1,4,1,"Recommend that if he still doesn't choose to follow with the treatment, I am not much help then","Careless","Trying","Stubborn",7,2,6,3,"Dave",5,4,4,4,2,4,2,21,"Female","",2,"","",6,7,7,3,4,4,3,4,"Black High SES","Black","High SES",2,2,4,"Asian/Asian American","greater than $150,000",4,2,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
