"","X","ResponseId","Q141_First.Click","label2_1","label3_1","severe","likelihood1","likelihood2","likelihood3","likelihood4","adjustMyTreatment1","adjustMyTreatment2","adjustMyTreatment3","adjustMyTreatment4","concernsOpen","moveForwardOpen","label1_2","label2_2","label3_2","ladderDave","insurance_Patient","incomeDave","ed_Patient","manipulationCheck","healthLit_Patient","perspective1","perspective2","perspective3","perspective4","perspective5","perspective6","age_Self","gender_Self","gender_5_TEXT","race_Self","race_6_TEXT","race_7_TEXT","ladder_Self","income_Self","incomeYouth","ed_Own","ed_Dad","ed_Mom","politics_Self","telemed","patient","conditionRace","conditionSES","likelihood2Recode","likelihood3Recode","bias","raceFactor","incomeFactor","edParent","treatRecode1_1","treatRecode2_1","treatRecode1_2","treatRecode2_2","strike","treat1","treat2","treatSum","treatAvg","treatmentWhy","initiative","exaggerate","honest","clearer","givingUp","lazy","motivated","healthImproves","attributions","zScoreIncome","zScoreEd","objectiveSES","zScoreIncomeDave","zScoreEdDave","objectiveSESDave","adjust","perspective","study","Duration..in.seconds.","Finished","RecordedDate","patientId_1","feelingTherm_1_1","feelingTherm_1_2","feelingTherm_1_3","feelingTherm_1_4","feelingTherm_1_5","feelingTherm_1_6","feelingTherm_1_7","feelingTherm_1_8","feelingTherm_1_9","feelingTherm_1_10","feelingTherm_1_11","therm_1","therm_2","therm_3","therm_4","therm_5","therm_6","therm_7","therm_8","therm_9","therm_10","therm_11","feelingTherm","ladder_Patient","income_Patient","idRecall_1","idRecall_2","idRecall_3","load_Effort_1","load_Difficulty_1","gender_Self_5_TEXT","race_Self_6_TEXT","race_Self_7_TEXT","income_Youth","Patient2Name","Condition","Patient2","aid","cogLoad","loadCondition","incapable","deserve","difficult","busy","intelligent","notes","loadSum","loadMean","manipulationCheck_m","manipulationCheck_f","Gender","SES","jobTitle","jobTitle_6_TEXT","specialtyField","ladder_Childhood","politics_Own","yearsWork_1","specialty","jobTitle.1","yearsWorkCurrent_1","workWhere","workInsurancePercent_1","trainingDegree","trainingWhere","trainingWhere_US","trainingWhere_notUS","ref","Race"
"1",1,"R_3kpnKRIIihnQ5Ai",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"White High SES","White","High SES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,3.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,"R_3kpnKRIIihnQ5Ai",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"White High SES","White","High SES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,3.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,"R_VOIDJwjsa8TsJI5",0,"businessman","dapper",3,4,3,4,2,4,2,2,3,"If Dave's attire is an indication of his professional lifestyle, Dave seems like he might be very busy! It might be hard for Dave to schedule appointments around his professional obligations. ","I would further stress that Dave will not get better unless he follows my treatment plan. I would maintain my Tier 1 plan (OTC Acetaminophen & Topical Gel) and see how it works with Dave following recommendations before moving on to Tier 2. I would also recommend Dave to get further imaging/evaluation done on his back to see if we could treat his back pain without medication going forward since he seems to not be able to maintain a rigid medication schedule.","dapper","absent minded","busy",7,1,6,3,"Dave",5,3,2,2,3,3,3,26,"Male","",1,"","",6,6,6,3,3,3,2,4,"Black High SES","Black","High SES",3,2,5,"White/Caucasian","$100,001 - $150,000",3,1,1,1,1,1,7,8,2,1,"Dave is having sharp pain but not necessarily unbearable pain. I would start Dave out with Tier 1 medications and see how he responds before moving to more advanced medication. I would also recommend further testing/imaging to be performed so we can figure out what might be causing Dave's lower back pain.",4,3,4,2,2,2,2,4,5,0.827408748689462,0.946280590715452,1.77368933940491,1.42252076766467,0.600432672459535,2.02295344012421,3.75,3.75,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,"R_VOIDJwjsa8TsJI5",0,"businessman","dapper",3,4,3,4,2,4,2,2,3,"If Dave's attire is an indication of his professional lifestyle, Dave seems like he might be very busy! It might be hard for Dave to schedule appointments around his professional obligations. ","I would further stress that Dave will not get better unless he follows my treatment plan. I would maintain my Tier 1 plan (OTC Acetaminophen & Topical Gel) and see how it works with Dave following recommendations before moving on to Tier 2. I would also recommend Dave to get further imaging/evaluation done on his back to see if we could treat his back pain without medication going forward since he seems to not be able to maintain a rigid medication schedule.","dapper","absent minded","busy",7,1,6,3,"Dave",5,3,2,2,3,3,3,26,"Male","",1,"","",6,6,6,3,3,3,2,4,"Black High SES","Black","High SES",3,2,5,"White/Caucasian","$100,001 - $150,000",3,1,1,1,1,2,7,8,2,1,"I would still start on Tier 1 for the same reasons as before. I would further stress that Dave can only expect results if he follows my treatment plan but for now we're going to continue with Tier 1 medications before moving on to more advanced medications such as Opioids.",4,3,3,1,3,3,2,4,2,0.827408748689462,0.946280590715452,1.77368933940491,1.42252076766467,0.600432672459535,2.02295344012421,3.75,3.75,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,"R_2CJUpNuCw0jTwwk",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"White High SES","White","High SES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,3.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,"R_2CJUpNuCw0jTwwk",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"White High SES","White","High SES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,3.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,"R_3CE2mfyRQyhYscs",10.453,"lower","back",2,4,4,4,3,4,4,4,4,"If the treatment affects their daily livelihood/emplyoment","setup treatments at the clinic (possibly weekly)","forgetful","adhd","neglectful",5,3,5,2,"Dave",2,2,3,3,4,3,3,20,"Male","",2,"","",8,7,7,3,4,4,2,4,"White Low SES","White","Low SES",2,2,4,"Asian/Asian American","greater than $150,000",4,2,2,2,1,1,5,6,4,2,"Not too extreme, but still more effective than over-the-counter treatment",5,3,2,2,1,3,2,5,2,1.27652414463781,0.946280590715452,2.22280473535326,0.676188372795239,-0.917642386211743,-0.241454013416504,3.75,3.75,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,"R_3CE2mfyRQyhYscs",10.453,"lower","back",2,4,4,4,3,4,4,4,4,"If the treatment affects their daily livelihood/emplyoment","setup treatments at the clinic (possibly weekly)","forgetful","adhd","neglectful",5,3,5,2,"Dave",2,2,3,3,4,3,3,20,"Male","",2,"","",8,7,7,3,4,4,2,4,"White Low SES","White","Low SES",2,2,4,"Asian/Asian American","greater than $150,000",4,2,2,2,1,2,5,7,3,1.5,"time concerns",5,3,3,2,1,4,2,5,1,1.27652414463781,0.946280590715452,2.22280473535326,0.676188372795239,-0.917642386211743,-0.241454013416504,3.75,3.75,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,"R_3G7BsnohAVi8g4i",0,"adult","back pain",3,4,3,2,2,3,3,2,2,"Him carrying out my reccomendations","Tell him to follow instructions or he's not going to get better","annoying","doesn't follow rules","exaggerated",7,1,5,3,"Dave",5,2,2,2,4,2,4,20,"Female","",1,"","",7,1,5,2,3,3,2,1,"White High SES","White","High SES",3,4,7,"White/Caucasian","less than $15,000",3,1,1,1,1,1,7,8,2,1,"Because he didn't mention having treatment before so I would start with the most minimally harsh",4,4,4,2,3,4,2,3,5,-1.41816823105229,-0.967786967777167,-2.38595519882946,0.676188372795239,0.600432672459535,1.27662104525477,3.25,3.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,"R_3G7BsnohAVi8g4i",0,"adult","back pain",3,4,3,2,2,3,3,2,2,"Him carrying out my reccomendations","Tell him to follow instructions or he's not going to get better","annoying","doesn't follow rules","exaggerated",7,1,5,3,"Dave",5,2,2,2,4,2,4,20,"Female","",1,"","",7,1,5,2,3,3,2,1,"White High SES","White","High SES",3,4,7,"White/Caucasian","less than $15,000",3,1,1,1,1,2,7,8,2,1,"He didn't do them last time so he should try again",5,4,5,1,4,4,1,1,5,-1.41816823105229,-0.967786967777167,-2.38595519882946,0.676188372795239,0.600432672459535,1.27662104525477,3.25,3.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
