StartDate,EndDate,Status,Progress,Duration..in.seconds.,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,screener1,screener2,screener2_7_TEXT,valuesTreatment,valuesOpenTreatment_3,ypTreatment1,ypTreatment2,ypTreatment3a,ypTreatment3b,ypTreatment4,manipCheckOpen_T,sayingTreatment,valuesControl,valuesOpenControl_1,ypControl1,ypControl2a,ypControl2b,ypControl3,ypControl4,manipCheckOpen_C,sayingControl,dayDetail_1,dayDetail_4,dayDetail_5,dayDetail_6,dayDetail_7,dayDetail_8,dayDetail_9,dayDetail_10,dayDetail_11,dayDetail_12,dayDetail_14,dayDetail_15,dayDetail_16,dayDetail_18,dayDetail_19,dayDetail_20,dayDetail_21,dayDetail_22,dayDetail_23,dayDetail_24,dayDetail_25,dayDetail_26,dayDetail_27,dayDetail_28,manipCheck2,manipCheck1,severe,moveForwardOpen,ladder_Patient,insurance_Patient,income_Patient,ed_Patient,manipCheckName,sdoh1,sdoh2,culturalCompetancy1,culturalCompetancy2,PFI1_1,PFI1_2,PFI1_3,PFI1_4,PFI1_5,PFI1_6,PFI2_1,PFI2_2,PFI2_3,PFI2_4,PFI3_1,PFI3_2,PFI3_3,PFI3_4,PFI3_5,PFI3_6,petition1,petition2,donation_1,donation_2,yearsWork_1,specialty,jobTitle,yearsWorkCurrent_1,workWhere,workInsurancePercent_1,edOwn,trainingDegree,trainingWhere,trainingWhere_US,trainingWhere_notUS,age,gender,gender_5_TEXT,race,race_6_TEXT,race_7_TEXT,ladder,politics,income,edFather,edMother,Condition,aid,treatRecode1_1,treatRecode2_1,treatRecode1_2,treatRecode2_2,strike,treat1,treat2,treatSum,treatAvg,treatmentDose,frustrating,initiative,honest,exaggerate,deserve,difficult,givingUp,lazy,motivated,healthImproves,intelligent,attributions,notes
2024-05-01 14:21:44,2024-05-01 15:25:25,0,100,3820,1,2024-05-01 15:25:26,R_7komjDtb8qr0Zts,,,,,41.6325,-81.4034,anonymous,EN,1,3,,"7,3,5",It is imperative to know the differences in medicine and how it can be treated across different cultures. Even the way in which someone from a different culture will perceive and react to certain criteria and protocols taken to protect the patient. ,"It’s important because my way may not be the patient’s way. What I mean by that is my way of care can be different than the quality or type of care a patient expects or is accustomed to. It’s important to know how comfortable a patient is with touch, with eye contact, with a direct approach or a more soft approach. We all take in and process information differently, and we all need to be respectful of our patient’s needs. ","In my experience some patients feel less than when they don’t have insurance or have Medicare. It’s important for a patient to have agency. To feel like they are the ones making the decisions, and the healthcare providers are the ones making the recommendations. Patients with a lack of insurance ask the least amount of questions. It’s crucial to know when this happens and make every patient, regardless of their ability to pay, feel they are going to be taken care of and just as important as the next patient. ","Taking a perspective from the previous model I just read I would like to say that understanding and having knowledge of your patient’s lifestyle, work and home life is so important. When a patient feels understood, they are more open and more receptive to recommendations. ",Understanding a patient’s perspective has a positive influence on the patient because they feel heard and seen. They may feel as if the health care provider is a friend and feel safer with any recommendations given. ,"I find when I can give goals that are simple and easy to comprehend, the patient feels as if it’s the first step in taking control over their health. It’s always important to find out what the patient wants to happen or what actionable goal they desire and then set up ways for them to do that. In order to get to step C, we must do A and B first. ",Today I read about the patient’s perspective when it comes to their health care provider. ,"It is of the utmost importance that you look at and treat your patient as a family member or as someone looking into the mirror. Yes, YOU. Treat your patients how you expect and want to be treated. 

Learn who they are, not just their diseases or maladies. Learn about what makes them happy and what kind of lifestyle they have. Learn about help they have or may not have. Keep in mind that you are not just a number to your patient, and your patient should never be just a number to you. 

Some patients are easy and malleable. However, there will be times when your patience is tested. Good! How you treat the patient in these trying times speaks to who you are as a medical professional. You’ll notice that I didn’t say what you are as a medical professional. That’s because you are a human being; not a what, but a who. Treat every patient with that in mind and it will make all the difference. ",,,,,,,,,,Receive reports on patients ,Met patients and did head to toe body assessments ,Check blood sugar for diabetic patients ,"Administer medications, charting, follow Dr. Orders ","Draw ordered labs, call dr’s with patient issues, charting ",Discharge patients ,Admit new patie,Do the same from 7 am to end of day,,,,,,,,,,,,,,,,,1,2,8,I would ask him to come in for continuing care and get a more detailed profile of what is happening in his life and how we can better assist his health. ,5,3,3,3,1,5,5,5,5,4,5,4,4,5,5,2,3,2,2,1,1,1,1,1,1,1,1,80,20,13,RN,RN,10,,60,3,Bachelor of Science,1,22,,33,2,,1,,,8,4,5,4,4,Treatment,6632a2ca-51f2-44db-f437-077ac2e62b90,2,2,2,2,1,5,6,4,2,86,5,4,5,1,5,2,1,1,5,5,5,5,"Dave is in a high level of pain after 3 weeks
Dave did not follow Dr’s suggestions
Dave’s schedule makes it difficult for him to follow the prescribed treatment plan"
2024-05-01 14:21:44,2024-05-01 15:25:25,0,100,3820,1,2024-05-01 15:25:26,R_7komjDtb8qr0Zts,,,,,41.6325,-81.4034,anonymous,EN,1,3,,"7,3,5",It is imperative to know the differences in medicine and how it can be treated across different cultures. Even the way in which someone from a different culture will perceive and react to certain criteria and protocols taken to protect the patient. ,"It’s important because my way may not be the patient’s way. What I mean by that is my way of care can be different than the quality or type of care a patient expects or is accustomed to. It’s important to know how comfortable a patient is with touch, with eye contact, with a direct approach or a more soft approach. We all take in and process information differently, and we all need to be respectful of our patient’s needs. ","In my experience some patients feel less than when they don’t have insurance or have Medicare. It’s important for a patient to have agency. To feel like they are the ones making the decisions, and the healthcare providers are the ones making the recommendations. Patients with a lack of insurance ask the least amount of questions. It’s crucial to know when this happens and make every patient, regardless of their ability to pay, feel they are going to be taken care of and just as important as the next patient. ","Taking a perspective from the previous model I just read I would like to say that understanding and having knowledge of your patient’s lifestyle, work and home life is so important. When a patient feels understood, they are more open and more receptive to recommendations. ",Understanding a patient’s perspective has a positive influence on the patient because they feel heard and seen. They may feel as if the health care provider is a friend and feel safer with any recommendations given. ,"I find when I can give goals that are simple and easy to comprehend, the patient feels as if it’s the first step in taking control over their health. It’s always important to find out what the patient wants to happen or what actionable goal they desire and then set up ways for them to do that. In order to get to step C, we must do A and B first. ",Today I read about the patient’s perspective when it comes to their health care provider. ,"It is of the utmost importance that you look at and treat your patient as a family member or as someone looking into the mirror. Yes, YOU. Treat your patients how you expect and want to be treated. 

Learn who they are, not just their diseases or maladies. Learn about what makes them happy and what kind of lifestyle they have. Learn about help they have or may not have. Keep in mind that you are not just a number to your patient, and your patient should never be just a number to you. 

Some patients are easy and malleable. However, there will be times when your patience is tested. Good! How you treat the patient in these trying times speaks to who you are as a medical professional. You’ll notice that I didn’t say what you are as a medical professional. That’s because you are a human being; not a what, but a who. Treat every patient with that in mind and it will make all the difference. ",,,,,,,,,,Receive reports on patients ,Met patients and did head to toe body assessments ,Check blood sugar for diabetic patients ,"Administer medications, charting, follow Dr. Orders ","Draw ordered labs, call dr’s with patient issues, charting ",Discharge patients ,Admit new patie,Do the same from 7 am to end of day,,,,,,,,,,,,,,,,,1,2,8,I would ask him to come in for continuing care and get a more detailed profile of what is happening in his life and how we can better assist his health. ,5,3,3,3,1,5,5,5,5,4,5,4,4,5,5,2,3,2,2,1,1,1,1,1,1,1,1,80,20,13,RN,RN,10,,60,3,Bachelor of Science,1,22,,33,2,,1,,,8,4,5,4,4,Treatment,6632a2ca-51f2-44db-f437-077ac2e62b90,2,2,2,2,2,5,6,4,2,98,4,4,3,3,5,3,1,3,3,5,3,5,"After 6 weeks, Dave is still in the same amount of pain
Dave did not follow a treatment plan as referenced 
Dave needs additional follow up"
2024-05-01 15:58:24,2024-05-01 16:46:49,0,100,2905,1,2024-05-01 16:46:50,R_2nT0XyfkRiFb0hH,,,,,37.7759,-90.4071,anonymous,EN,1,3,,,,,,,,,,,"1,7,8",I use my laptop for lots of daily activities like my shopping and my banking and for personal apps like facebook,to complete banking transactions or to get on face book to pass time,I was shopping on line at walmart and it showed me all previous things I have ordered what my favorites are then I got to see other peoples comments on the same product,getting to chat with friends and family everyday ,helps me keep a record of my daily eating habbits how many calories ,to watch the news,different ways that I use technology in my daily life,technology keeps me entertained on a daily basis,passing morning meds,helping patients get dressed for breakfast,helping patients eat breakfast,helping give residents showes,helping patients get laid down for naps,passing afternoon meds,helping patients eat lunch,charting daily patient activities,visiting residents,,,,,,,,,,,,,,,,3,5,2,tell him again if he wants results he needs to take medication as perscribed,6,2,3,2,1,4,4,4,4,4,4,4,4,4,4,2,2,2,2,1,1,1,1,1,1,1,1,50,50,8,oncology,charge nurse,4,,100,3,associate degree,1,26,,53,2,,1,,,7,5,3,3,3,Control,6632b978-418c-c800-da62-38a1ef69d781,2,2,2,2,1,5,6,4,2,15,4,4,4,2,4,4,2,2,2,4,4,3,take medication as prescribed per doctors orders
2024-05-01 15:58:24,2024-05-01 16:46:49,0,100,2905,1,2024-05-01 16:46:50,R_2nT0XyfkRiFb0hH,,,,,37.7759,-90.4071,anonymous,EN,1,3,,,,,,,,,,,"1,7,8",I use my laptop for lots of daily activities like my shopping and my banking and for personal apps like facebook,to complete banking transactions or to get on face book to pass time,I was shopping on line at walmart and it showed me all previous things I have ordered what my favorites are then I got to see other peoples comments on the same product,getting to chat with friends and family everyday ,helps me keep a record of my daily eating habbits how many calories ,to watch the news,different ways that I use technology in my daily life,technology keeps me entertained on a daily basis,passing morning meds,helping patients get dressed for breakfast,helping patients eat breakfast,helping give residents showes,helping patients get laid down for naps,passing afternoon meds,helping patients eat lunch,charting daily patient activities,visiting residents,,,,,,,,,,,,,,,,3,5,2,tell him again if he wants results he needs to take medication as perscribed,6,2,3,2,1,4,4,4,4,4,4,4,4,4,4,2,2,2,2,1,1,1,1,1,1,1,1,50,50,8,oncology,charge nurse,4,,100,3,associate degree,1,26,,53,2,,1,,,7,5,3,3,3,Control,6632b978-418c-c800-da62-38a1ef69d781,2,2,2,2,2,5,6,4,2,40,4,4,4,2,4,4,2,4,2,4,2,2,do not need to keep seeing you if your not gonna take the meds
2024-05-01 16:23:39,2024-05-01 17:01:58,0,100,2298,1,2024-05-01 17:01:58,R_3q2hl6xJgwXbTYZ,,,,,32.0563,-81.05,anonymous,EN,1,1,,"7,9,5",I value my patients very well and they deserve patience. It's absolutely okay to listen to your patients concerns.,You should understand your patients perspective because you will understand what they are going through. What feelings that go through their head.,Some patients may be scared that their doctors won't listen to their concerns. Or they might brush them off.,Understanding a patients perspective might help the patient be more comfortable with their doctor. ,It might make them less stressed and it may help them come to more appointments.,It helps patients be more comfortable with me and open up more about their symptoms. It helps them see that someone is actually listening.,When patients have someone listening to them they will feel less stressed.,I am listening to your problems. I hear you and want to be there for you. I am a doctor that truly cares and will do everything in my power to help you.,,,,,,,,,,It was very calm,I got to see the other fellow doctors,I was called in for a code blue,The hospital had another code blue,It was time for a surgery.,It was lunch time for me and I went to the cafeteria to eat.,There was a code red,There was another code red.,I took care of my last patients for the day,I went home,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,1,1,10,Get him surgery ,8,3,3,2,1,5,5,5,5,5,4,4,5,5,4,1,2,1,2,1,1,1,1,1,1,0,0,50,50,11,Doctor,Doctor,11,,58,4,Doctorate,1,11,,35,2,,3,,,8,2,5,4,3,Treatment,6632bf4a-6f4a-37f8-036a-93ab321dbf50,4,4,3,3,1,1,2,8,4,68,3,5,4,1,5,1,1,1,2,5,4,5,"Get lots of rest
Please take your meds
When better schedule a physical therapist."
2024-05-01 16:23:39,2024-05-01 17:01:58,0,100,2298,1,2024-05-01 17:01:58,R_3q2hl6xJgwXbTYZ,,,,,32.0563,-81.05,anonymous,EN,1,1,,"7,9,5",I value my patients very well and they deserve patience. It's absolutely okay to listen to your patients concerns.,You should understand your patients perspective because you will understand what they are going through. What feelings that go through their head.,Some patients may be scared that their doctors won't listen to their concerns. Or they might brush them off.,Understanding a patients perspective might help the patient be more comfortable with their doctor. ,It might make them less stressed and it may help them come to more appointments.,It helps patients be more comfortable with me and open up more about their symptoms. It helps them see that someone is actually listening.,When patients have someone listening to them they will feel less stressed.,I am listening to your problems. I hear you and want to be there for you. I am a doctor that truly cares and will do everything in my power to help you.,,,,,,,,,,It was very calm,I got to see the other fellow doctors,I was called in for a code blue,The hospital had another code blue,It was time for a surgery.,It was lunch time for me and I went to the cafeteria to eat.,There was a code red,There was another code red.,I took care of my last patients for the day,I went home,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,1,1,10,Get him surgery ,8,3,3,2,1,5,5,5,5,5,4,4,5,5,4,1,2,1,2,1,1,1,1,1,1,0,0,50,50,11,Doctor,Doctor,11,,58,4,Doctorate,1,11,,35,2,,3,,,8,2,5,4,3,Treatment,6632bf4a-6f4a-37f8-036a-93ab321dbf50,4,4,3,3,2,3,4,6,3,73,5,5,2,1,5,5,1,1,2,5,4,2,"Scheduling surgery
Prescribing methadone
Prescribing fentanyl "
2024-05-01 16:40:22,2024-05-01 17:56:37,0,100,4575,1,2024-05-01 17:56:39,R_2RwFXHsFuvWNSyt,,,,,42.6896,-72.4488,anonymous,EN,1,3,,,,,,,,,,,"1,6,7","My laptop is to research and use internet, Zoom is for communication with friends and family,  and email is for more in depth and formal communication.  ","Technology has worked it's way into most of my life.  My alarm on my phone wakes me up. I then have Alexa turn off thr white noise that helps me sleep.  I then ask Alexa what the weather will be so I know what to wear.  When I go to new places, I rely on Google Maps to keep me from getting lost.  All my communication is done electronically either by call on my cell,  text, email or video.  I research any vacations that I take online looking for the best price and the book it all on line.  Who needs a travel agent anymore.   My music is a streamed or on satellite radio.   I order food delivery from my phone on an app, and if I'm in the city, another app calls me a ride.  Then I monitor my steps, activity,  heart rate,  oxygen saturation,  and sleep patterns on my smart watch.  I'm sure there is more,  but that is enough for now.  ","I was able to arrange a family reunion through Facebook and communicate with all involved people at the same time.   It went very well, by the way.  ","I have been able to improve communication with my PCP by means of the electronic portal.  When I used to wait for a phone call for a message that was passed on, I now get to communicate with the provider directly. ",All of my music is streamed or on satellite radio.   My TV is a smart TV and I can now use only streaming services to watch whatever I want.  I plan and book all my vacations on line.   I can find and purchase concert and event tickets right from my phone.  ,My greatest entertainment is reading.   All the books I want are now held in my hand and don't end up taking up boxes of space in my attic. ,I read about how technology is very much an integral part of our life. ,"Technology is not really scary. It opens up new worlds and makes the current world easier to maneuver in.  Imagine playing a computer game in real time with people from around the world.  My son has good friends that he has been playing with for years.   Now that he is grown, he is able to travel and meet these friends.  I can meet face to face with my doctor and never leave my house.   When you are really sick, the last thing you want to do is go to the doctors.  So, technology is definitely worth looking into. ",Not at work ,"Arrive, check email, check calendar,  return emails, message team about plans for the day ",Message my supervisor for additional tasks.  ,Interview in person ,Interview in person ,Email a facility re: new admission.  Complete admissions ,Set up on call schedules and communications that are starting next week.   ,Communicate with client's pcp via TigerConnect to get new orders.  ,Set up OWL camera/microphone for staff meeting so staff can attend from home.  Held staff meeting ,Met in person with team for rounds,,,,,,,,,,,,,,,1,1,8,Continue with previous plan with sooner follow up.   Talk to Dave about ideas to help him manage his med compliance.  Try to determine if there are underlying reasons that he might not want to take the medication.   ,5,3,4,2,1,4,2,4,2,3,3,4,3,4,4,2,2,3,3,2,3,2,2,2,3,0,0,50,50,35,Behavioral Health ,Nurse Manager ,4,,83,3,Associates ,1,22,,54,2,,1,,,6,5,5,2,2,Control,6632c340-c299-8122-23df-ebd23cbe3c43,1,1,2,1,1,7,8,2,1,24,5,4,4,3,5,3,1,1,3,5,3,5,Circumstances preventing David from complying with meds. Will continue lidocaine and add tramadol which can be dosed less frequently.  Dave may also use Tylenol in conjunction with this change.  
2024-05-01 16:40:22,2024-05-01 17:56:37,0,100,4575,1,2024-05-01 17:56:39,R_2RwFXHsFuvWNSyt,,,,,42.6896,-72.4488,anonymous,EN,1,3,,,,,,,,,,,"1,6,7","My laptop is to research and use internet, Zoom is for communication with friends and family,  and email is for more in depth and formal communication.  ","Technology has worked it's way into most of my life.  My alarm on my phone wakes me up. I then have Alexa turn off thr white noise that helps me sleep.  I then ask Alexa what the weather will be so I know what to wear.  When I go to new places, I rely on Google Maps to keep me from getting lost.  All my communication is done electronically either by call on my cell,  text, email or video.  I research any vacations that I take online looking for the best price and the book it all on line.  Who needs a travel agent anymore.   My music is a streamed or on satellite radio.   I order food delivery from my phone on an app, and if I'm in the city, another app calls me a ride.  Then I monitor my steps, activity,  heart rate,  oxygen saturation,  and sleep patterns on my smart watch.  I'm sure there is more,  but that is enough for now.  ","I was able to arrange a family reunion through Facebook and communicate with all involved people at the same time.   It went very well, by the way.  ","I have been able to improve communication with my PCP by means of the electronic portal.  When I used to wait for a phone call for a message that was passed on, I now get to communicate with the provider directly. ",All of my music is streamed or on satellite radio.   My TV is a smart TV and I can now use only streaming services to watch whatever I want.  I plan and book all my vacations on line.   I can find and purchase concert and event tickets right from my phone.  ,My greatest entertainment is reading.   All the books I want are now held in my hand and don't end up taking up boxes of space in my attic. ,I read about how technology is very much an integral part of our life. ,"Technology is not really scary. It opens up new worlds and makes the current world easier to maneuver in.  Imagine playing a computer game in real time with people from around the world.  My son has good friends that he has been playing with for years.   Now that he is grown, he is able to travel and meet these friends.  I can meet face to face with my doctor and never leave my house.   When you are really sick, the last thing you want to do is go to the doctors.  So, technology is definitely worth looking into. ",Not at work ,"Arrive, check email, check calendar,  return emails, message team about plans for the day ",Message my supervisor for additional tasks.  ,Interview in person ,Interview in person ,Email a facility re: new admission.  Complete admissions ,Set up on call schedules and communications that are starting next week.   ,Communicate with client's pcp via TigerConnect to get new orders.  ,Set up OWL camera/microphone for staff meeting so staff can attend from home.  Held staff meeting ,Met in person with team for rounds,,,,,,,,,,,,,,,1,1,8,Continue with previous plan with sooner follow up.   Talk to Dave about ideas to help him manage his med compliance.  Try to determine if there are underlying reasons that he might not want to take the medication.   ,5,3,4,2,1,4,2,4,2,3,3,4,3,4,4,2,2,3,3,2,3,2,2,2,3,0,0,50,50,35,Behavioral Health ,Nurse Manager ,4,,83,3,Associates ,1,22,,54,2,,1,,,6,5,5,2,2,Control,6632c340-c299-8122-23df-ebd23cbe3c43,1,1,2,1,2,6,8,3,1.5,49,5,4,4,3,5,3,4,3,3,5,3,2,Dave continues with medication noncompliance.   Discussing with Dave if he had reasons for not wanting to take medications to alleviate his pain.  Dave states that his sister has opioid use disorder and it started after treatment for a fractured ankle.   Dave is fearful that he will become addicted also. 
2024-05-01 18:14:58,2024-05-01 18:46:55,0,100,1917,1,2024-05-01 18:46:56,R_72Ra29qtafFXO8Q,,,,,25.8119,-80.2318,anonymous,EN,1,3,,"9,4,5",I like to try to understand how I might feel if I were in the patients role.   Calm fears and provide reassurance ,Because we are all human and have things going on in our life ,"Language barrier, age, disabilities ",The patient may feel more comfortable and agreeable to treatment.  ,The patient will have less recovery time and effort when they feel safe and heard by their healthcare providers ,By explaining to the patient in terms they understand ,I read about patient perspective ,I have been a nurse for over 20 years and things are always changing.   You can either embrace the changes and learn and grow with them or stay stuck and struggle to grow as a nurse,,,,,,,,,,,,,,,,,,,,,,Start assume charge ,Triage patients ,Triage patients ,Triage patients ,Triage patients ,Triage patients ,Triage patients ,Triage patients ,Triage patients ,Triage patients ,Emergency cesarean section ,Recover patients give shift report ,3,2,8,Recommend that he follow with the treatment ,6,2,5,3,1,3,3,4,4,3,4,4,3,4,4,3,4,3,4,3,3,3,3,3,3,0,0,75,25,31,RN,RNC OB charge ,15,,21,3,BSN,1,36,,52,2,,1,,,7,6,6,1,1,Treatment,6632da21-53fc-06bf-3751-9246c3dbe037,2,1,4,3,1,5,7,3,1.5,NA,3,4,4,2,4,3,1,1,4,4,4,3,"Dave has had worsening pain 
Dave was recommended a treatment plan, but has not fully completed recommended treatment.
Dave will be recommended to try a new medication and treatment "
2024-05-01 18:14:58,2024-05-01 18:46:55,0,100,1917,1,2024-05-01 18:46:56,R_72Ra29qtafFXO8Q,,,,,25.8119,-80.2318,anonymous,EN,1,3,,"9,4,5",I like to try to understand how I might feel if I were in the patients role.   Calm fears and provide reassurance ,Because we are all human and have things going on in our life ,"Language barrier, age, disabilities ",The patient may feel more comfortable and agreeable to treatment.  ,The patient will have less recovery time and effort when they feel safe and heard by their healthcare providers ,By explaining to the patient in terms they understand ,I read about patient perspective ,I have been a nurse for over 20 years and things are always changing.   You can either embrace the changes and learn and grow with them or stay stuck and struggle to grow as a nurse,,,,,,,,,,,,,,,,,,,,,,Start assume charge ,Triage patients ,Triage patients ,Triage patients ,Triage patients ,Triage patients ,Triage patients ,Triage patients ,Triage patients ,Triage patients ,Emergency cesarean section ,Recover patients give shift report ,3,2,8,Recommend that he follow with the treatment ,6,2,5,3,1,3,3,4,4,3,4,4,3,4,4,3,4,3,4,3,3,3,3,3,3,0,0,75,25,31,RN,RNC OB charge ,15,,21,3,BSN,1,36,,52,2,,1,,,7,6,6,1,1,Treatment,6632da21-53fc-06bf-3751-9246c3dbe037,2,1,4,3,2,1,3,7,3.5,NA,4,4,4,3,4,2,1,2,2,5,3,3,"Dave has not had any improvement with his pain, due to not following suggested treatment. 
Advised Dave to try to follow treatment plan.  
Will follow up to see how Dave is doing with his treatment and explore why he may not be following treatment plan. "
