StartDate,EndDate,Status,IPAddress,Progress,Duration..in.seconds.,Finished,RecordedDate,ResponseId,screener1,screener2,screener2_7_TEXT,specialtyField,valuesTreatment,valuesOpenTreatment_3,ypTreatment1_1,ypTreatment1_2,ypTreatment2_1,ypTreatment2_1.1,manipCheckOpen_T,sayingTreatment,ypTreatment3_1,ypTreatment4,valuesControl,ypControl1,ypControl2a,manipCheckOpen_C,sayingControl,dayDetail_1,dayDetail_4,dayDetail_5,dayDetail_6,dayDetail_7,dayDetail_8,dayDetail_9,dayDetail_10,dayDetail_11,dayDetail_12,dayDetail_14,dayDetail_15,dayDetail_16,dayDetail_18,dayDetail_19,dayDetail_20,dayDetail_21,dayDetail_22,dayDetail_23,dayDetail_24,dayDetail_25,dayDetail_26,dayDetail_27,dayDetail_28,manipCheck2,manipCheck1,layTheories_1,layTheories_2,layTheories_3,severe,moveForwardOpen,ladder_Patient,insurance_Patient,income_Patient,ed_Patient,manipCheckName,sdoh1,sdoh2,culturalCompetancy1,culturalCompetancy2,PFI1_1,PFI1_2,PFI1_3,PFI1_4,PFI1_5,PFI1_6,PFI2_1,PFI2_2,PFI2_3,PFI2_4,PFI3_1,PFI3_2,PFI3_3,PFI3_4,PFI3_5,PFI3_6,petition1,petition2,donation_1,donation_2,intelligence_1,intelligence_2,intelligence_3,yearsWork_1,specialty,jobTitle,yearsWorkCurrent_1,workWhere,workInsurancePercent_1,edOwn,trainingDegree,trainingWhere,trainingWhere_US,trainingWhere_notUS,age,gender,gender_5_TEXT,race,race_6_TEXT,race_7_TEXT,ladder,politics,income,edFather,edMother,UPMID,Condition,treatRecode1_1,treatRecode2_1,treatRecode1_2,treatRecode2_2,strike,treat1,treat2,treatSum,treatAvg,treatmentDose,frustrating,initiative,honest,exaggerate,deserve,difficult,givingUp,lazy,motivated,healthImproves,intelligent,attributions,notes
2024-08-29 07:35:30,2024-08-29 07:54:41,0,76.152.191.93,100,1150,1,2024-08-29 07:54:41,R_5fXGq2TzUyM5Mfn,1,1,NA,1,,,,,,,,,,,1,"Not enough staffing
companies more interested in profit than spending for patient care",It makes taking care of patients more challenging,Staffing challenges,"Technology is a tool, not the solution.
Health care companies and payors are spending more on technology and less on care of actual patients.
", review messages and charts in EHR's,  review messages and charts in EHR's,patient care and  review messages and charts in EHR's,patient care and  review messages and charts in EHR's,patient care and  review messages and charts in EHR's,patient care and  review messages and charts in EHR's,patient care and  review messages and charts in EHR's,patient care and  review messages andcharts in EHR's,patient care and  review messages and charts in EHR's,patient care and  review messages and charts in EHR's,patient care and  review messages and charts in EHR's,patient care and  review messages and charts in EHR's, review messages and charts in EHR's, review messages and charts in EHR's, review messages and charts in EHR's, review messages and charts in EHR's, review messages and charts in EHR's, review messages and charts in EHR's,rest,rest,rest,rest,rest,rest,1,3,4,4,3,9,evaluation by Orthopedics,6,3,4,3,1,4,1,3,3,2,4,4,2,4,4,2,2,2,2,2,2,2,2,1,2,0,0,80,20,4,4,4,21,Internal Medicine,Physician,17,NA,91,4,MD,2,NA,Nepal,50,1,,5,,,8,1,7,2,3,dxW1itJ8Hgyp,Control_Active,4,1,4,1,1,2,7,5,2.5,59,1,1,5,1,5,1,1,1,4,5,5,5,"needs Ortho eval
continue pain control, non weight bearing"
2024-08-29 07:35:30,2024-08-29 07:54:41,0,76.152.191.93,100,1150,1,2024-08-29 07:54:41,R_5fXGq2TzUyM5Mfn,1,1,NA,1,,,,,,,,,,,1,"Not enough staffing
companies more interested in profit than spending for patient care",It makes taking care of patients more challenging,Staffing challenges,"Technology is a tool, not the solution.
Health care companies and payors are spending more on technology and less on care of actual patients.
", review messages and charts in EHR's,  review messages and charts in EHR's,patient care and  review messages and charts in EHR's,patient care and  review messages and charts in EHR's,patient care and  review messages and charts in EHR's,patient care and  review messages and charts in EHR's,patient care and  review messages and charts in EHR's,patient care and  review messages andcharts in EHR's,patient care and  review messages and charts in EHR's,patient care and  review messages and charts in EHR's,patient care and  review messages and charts in EHR's,patient care and  review messages and charts in EHR's, review messages and charts in EHR's, review messages and charts in EHR's, review messages and charts in EHR's, review messages and charts in EHR's, review messages and charts in EHR's, review messages and charts in EHR's,rest,rest,rest,rest,rest,rest,1,3,4,4,3,9,evaluation by Orthopedics,6,3,4,3,1,4,1,3,3,2,4,4,2,4,4,2,2,2,2,2,2,2,2,1,2,0,0,80,20,4,4,4,21,Internal Medicine,Physician,17,NA,91,4,MD,2,NA,Nepal,50,1,,5,,,8,1,7,2,3,dxW1itJ8Hgyp,Control_Active,4,1,4,1,2,2,7,5,2.5,NA,1,1,5,1,5,1,1,1,4,5,5,5,"Orthopedic eval needed
pain control
non-weight bearing"
2024-08-29 07:13:32,2024-08-29 08:55:57,0,75.237.29.153,100,6145,1,2024-08-29 08:55:58,R_6hBl4n3SlYxnOMa,1,1,NA,1,"9,2,5",Holistic approach because not everyone has the means to purchase the best food or go to a gym. Taking people from where tgey are with baby steps,,,,,Compassion in healthcare,"Treating people as individuals is of the most importance. I always hated being treated like a disease. Why does someone have a sore throat, for example, changes the treatment. Most of the time it can be something simple but they need to be heard, not dismissed with a script.","I spend as much time with them as they need, 30 - 60 minute appointments. We discuss what lifestyle changes are challenging, how stress is affecting them, and relationships. I get to know them as people.",I speak calmly and encourage them to relax. I do a lot of injection therapies and have my patient concentrate on breathing in and out as a distraction.,,,,,,,Prep my patient charts by reviewing labs and setting up EHR for each patient.,Patient,Patient ,Patient ,Patient ,Lunch,Patient ,Patient ,Patient ,"Finish by checking patient concerns, making sure I have records for tomorrow, and tieing up loose ends with staff",,,,,,,,,,,,,,4,5,3,3,3,3,Continue to offer the same treatment recommendations and follow up.,5,2,3,2,1,4,3,4,3,3,3,3,3,3,4,2,3,2,3,2,2,2,2,2,2,1,1,99,1,6,6,6,15,Hormones / Thyroid,Owner / Medical director,14,NA,60,4,Doctor,1,3,,64,2,,1,,,7,6,3,2,4,5jCZqjNKBF0J,Treatment_2,1,1,1,1,1,7,8,2,1,32,4,5,5,2,4,4,3,3,1,5,3,2,"He states that his pain has continued as a constant dull ache.
He did not start the recommendations treatment d/t not having time.
Discussed putting his treatment as a calendar reminder to help him remember."
2024-08-29 07:13:32,2024-08-29 08:55:57,0,75.237.29.153,100,6145,1,2024-08-29 08:55:58,R_6hBl4n3SlYxnOMa,1,1,NA,1,"9,2,5",Holistic approach because not everyone has the means to purchase the best food or go to a gym. Taking people from where tgey are with baby steps,,,,,Compassion in healthcare,"Treating people as individuals is of the most importance. I always hated being treated like a disease. Why does someone have a sore throat, for example, changes the treatment. Most of the time it can be something simple but they need to be heard, not dismissed with a script.","I spend as much time with them as they need, 30 - 60 minute appointments. We discuss what lifestyle changes are challenging, how stress is affecting them, and relationships. I get to know them as people.",I speak calmly and encourage them to relax. I do a lot of injection therapies and have my patient concentrate on breathing in and out as a distraction.,,,,,,,Prep my patient charts by reviewing labs and setting up EHR for each patient.,Patient,Patient ,Patient ,Patient ,Lunch,Patient ,Patient ,Patient ,"Finish by checking patient concerns, making sure I have records for tomorrow, and tieing up loose ends with staff",,,,,,,,,,,,,,4,5,3,3,3,3,Continue to offer the same treatment recommendations and follow up.,5,2,3,2,1,4,3,4,3,3,3,3,3,3,4,2,3,2,3,2,2,2,2,2,2,1,1,99,1,6,6,6,15,Hormones / Thyroid,Owner / Medical director,14,NA,60,4,Doctor,1,3,,64,2,,1,,,7,6,3,2,4,5jCZqjNKBF0J,Treatment_2,1,1,1,1,2,7,8,2,1,32,4,5,5,4,4,4,4,2,1,4,3,1,"His pain has continued at a constant dull ache.
He has not followed the recommendationed treatment plan d/t not having time.
No change in treatment plan at this tome."
2024-08-29 09:50:19,2024-08-29 10:23:51,0,172.59.33.134,100,2012,1,2024-08-29 10:23:52,R_5bOEJoTyFU18ylu,1,1,NA,1,,,,,,,,,,,"1,5,7",sometimes uncooperative patient or the other hand patients that would take up too much time telling all these stories that are not relevant on todays visit. ,it basically boils down to you spending more time on this patients. and also are the sickest with frequent urgent care or ed visits,patient compliance . and difficulties that primary care  encounters  in  their practice,AS a primary care we know some difficulties that we encounter in  our practice.  causing decrease in productivity and increased time with patients.  New technology like AI will absolutely help but not eliminate the issue but at least it will mitigate it. Consider using AI in your practice,checking emails,start seeing patient,patient encounter,patient encounter ,patient encounter transferring patient to a hospital,eat lunch shile reviewing critical labs,patient encounter,patient encounter,patient encounter,patient encounter,finishing up,,,,,,,,,,,,,,3,5,4,4,5,6,I will reexplain to him my recommendations again.  to make sure this time it doesn't slipped his mind,4,4,3,2,1,5,4,5,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,0,0,70,30,2,2,1,21,internal medicine,staff physician urgent care,6,NA,91,4,MD,1,36,,60,1,,2,,,8,5,6,2,1,gpLVIX8hH5gS,Control_Active,1,1,1,1,1,7,8,2,1,56,4,5,5,3,5,4,1,2,2,5,3,2,"1. ankle injury with severe pain
2. conservative treatment. acetaminophen and lidocaine. 
3. has nor followed my recommendations"
2024-08-29 09:50:19,2024-08-29 10:23:51,0,172.59.33.134,100,2012,1,2024-08-29 10:23:52,R_5bOEJoTyFU18ylu,1,1,NA,1,,,,,,,,,,,"1,5,7",sometimes uncooperative patient or the other hand patients that would take up too much time telling all these stories that are not relevant on todays visit. ,it basically boils down to you spending more time on this patients. and also are the sickest with frequent urgent care or ed visits,patient compliance . and difficulties that primary care  encounters  in  their practice,AS a primary care we know some difficulties that we encounter in  our practice.  causing decrease in productivity and increased time with patients.  New technology like AI will absolutely help but not eliminate the issue but at least it will mitigate it. Consider using AI in your practice,checking emails,start seeing patient,patient encounter,patient encounter ,patient encounter transferring patient to a hospital,eat lunch shile reviewing critical labs,patient encounter,patient encounter,patient encounter,patient encounter,finishing up,,,,,,,,,,,,,,3,5,4,4,5,6,I will reexplain to him my recommendations again.  to make sure this time it doesn't slipped his mind,4,4,3,2,1,5,4,5,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,0,0,70,30,2,2,1,21,internal medicine,staff physician urgent care,6,NA,91,4,MD,1,36,,60,1,,2,,,8,5,6,2,1,gpLVIX8hH5gS,Control_Active,1,1,1,1,2,7,8,2,1,97,2,2,4,3,5,2,1,2,4,5,3,1,"1. patient with ankle injury.
2. has not followed recommendation
3. reinforcement of the recommendations"
2024-08-29 10:41:04,2024-08-29 11:29:11,0,76.94.58.28,100,2886,1,2024-08-29 11:29:12,R_1FdiHp0rNLeDmff,1,1,NA,1,"9,2,5",Treating my patients as how I want my family to be treated is important to me.,"In order to affect positive change for patients’ health, a physician must understand what factors motivate patients and how to help patients find ways to improve their health that is acceptable to them and achievable.",It is important for the patient to feel heard during the process so they will be more likely to be receptive to the physician’s recommendation.,Fear that physicians won’t understand their cultural and personal preferences and may become condescending toward their preferences.,"As a primary care physician, I sometimes had to spend several visits to get to know the patient and build rapport before I can convince the patient to get vaccinated.",Understanding patients perception and how to better take care of them,"Thank you for joining our medical practice. We look forward to a successful and fruitful career for you. As you start your journey with us, we encourage you to use all of your lived experience and medical knowledge to best take care of the patients you serve. We understand that there are many barriers to providing the optimal care for your patient, So we are dedicated to provide you with all the resources you need to do your best.

We encourage every Provider to remember your first personal statement when entering your training. Think back to your ideals and visions of how you want to take care of your patience and change the world. Please remember to stay true to these ideals and always advocate the best you can for your patient.

Please remember to treat your patience as how you would want your family or yourself to be treated. We thrive together as a community when physicians, nurses, staff, patient share the same goal to promote the health and well-being of all of our patients.


Best wishes for you as you embark on your new career with us here at this clinic. We look forward to learning from and working with you.",,,,,,,,Wake up,Clinic,Clinic,Clinic,Clinic,Lunch meeting,Clinic,Clinic,Clinic,Clinic,Finish notes and inbasket,Inbasket,Dinner,Tv with family,Chores,Personal time,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,2,1,3,4,2,4,Ask about barriers to care,6,2,3,2,1,5,4,5,4,4,5,4,4,5,5,2,2,1,1,1,1,1,2,1,2,0,0,80,20,6,6,6,11,Family medicine,Partner physician,11,NA,90,4,MD,1,5,,39,1,,5,,,8,2,7,4,4,IvUbufXcGIWz,Treatment_1,1,1,1,1,1,7,8,2,1,30,4,4,5,2,5,1,1,1,3,5,3,5,Needed more help with pain management. May benefit from physical therapy. Will need more encouragement to achieve better outcomes. Need to explore factors impacting his care
2024-08-29 10:41:04,2024-08-29 11:29:11,0,76.94.58.28,100,2886,1,2024-08-29 11:29:12,R_1FdiHp0rNLeDmff,1,1,NA,1,"9,2,5",Treating my patients as how I want my family to be treated is important to me.,"In order to affect positive change for patients’ health, a physician must understand what factors motivate patients and how to help patients find ways to improve their health that is acceptable to them and achievable.",It is important for the patient to feel heard during the process so they will be more likely to be receptive to the physician’s recommendation.,Fear that physicians won’t understand their cultural and personal preferences and may become condescending toward their preferences.,"As a primary care physician, I sometimes had to spend several visits to get to know the patient and build rapport before I can convince the patient to get vaccinated.",Understanding patients perception and how to better take care of them,"Thank you for joining our medical practice. We look forward to a successful and fruitful career for you. As you start your journey with us, we encourage you to use all of your lived experience and medical knowledge to best take care of the patients you serve. We understand that there are many barriers to providing the optimal care for your patient, So we are dedicated to provide you with all the resources you need to do your best.

We encourage every Provider to remember your first personal statement when entering your training. Think back to your ideals and visions of how you want to take care of your patience and change the world. Please remember to stay true to these ideals and always advocate the best you can for your patient.

Please remember to treat your patience as how you would want your family or yourself to be treated. We thrive together as a community when physicians, nurses, staff, patient share the same goal to promote the health and well-being of all of our patients.


Best wishes for you as you embark on your new career with us here at this clinic. We look forward to learning from and working with you.",,,,,,,,Wake up,Clinic,Clinic,Clinic,Clinic,Lunch meeting,Clinic,Clinic,Clinic,Clinic,Finish notes and inbasket,Inbasket,Dinner,Tv with family,Chores,Personal time,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,2,1,3,4,2,4,Ask about barriers to care,6,2,3,2,1,5,4,5,4,4,5,4,4,5,5,2,2,1,1,1,1,1,2,1,2,0,0,80,20,6,6,6,11,Family medicine,Partner physician,11,NA,90,4,MD,1,5,,39,1,,5,,,8,2,7,4,4,IvUbufXcGIWz,Treatment_1,1,1,1,1,2,7,8,2,1,40,4,4,5,3,5,1,1,1,3,5,3,4,"Forgot to implement plan of care.
Pain not improving.
Needs additional sorry and follow up"
2024-08-29 11:31:18,2024-08-29 11:53:06,0,72.129.141.188,100,1307,1,2024-08-29 11:53:06,R_5dLjRkD16pU8SgC,1,1,NA,1,,,,,,,,,,,"2,5,7","Patients are often very belligerent, swearing and threatening violence, lawyers, etc.","Patients are noncompliant with the vast majority of things I or other healthcare providers, recommend including best practices and evidence based medicine then they blame the healthcare or medical institution for not getting better",,"Healthcare like every other industry is facing challenges of personnel and technology, security and safety of providers. We try to best help each patient that we encounter. However, their pushback creates strife and disgruntlement amongst the healthcare team. They think it’s weird against them, but in reality it is really.",Assumed care of five patients awaiting dis,Encounter with new patients,Meetings,Patient,Patience,Meeting,Meeting coding review,Patient,Patient,Patient,Patient,Patience,Commute home,Eat dinner,Chart,Charting,Charting,Charting,Pre-record review,s,Sleep,Sleep,Sleep,Exercise,6,4,4,5,5,3,"Allow one more week of conservative therapy, then reassess",6,2,2,2,1,1,1,4,4,2,2,2,1,1,1,5,3,5,3,4,2,4,5,4,3,0,0,90,10,5,4,4,32,Emergency med/internal med/neurocritical care,Physician,21,NA,85,4,Doctorate,1,23,,48,1,,1,,,8,5,7,3,3,VhRzlwTAYtih,Control_Active,1,1,1,1,1,7,8,2,1,40,5,5,1,3,4,3,1,4,1,3,3,1,"Patient noncompliant with treatment recommendations shows a little initiative to improve, but in two weeks has not had time to carry on treatment as prescribed"
2024-08-29 11:31:18,2024-08-29 11:53:06,0,72.129.141.188,100,1307,1,2024-08-29 11:53:06,R_5dLjRkD16pU8SgC,1,1,NA,1,,,,,,,,,,,"2,5,7","Patients are often very belligerent, swearing and threatening violence, lawyers, etc.","Patients are noncompliant with the vast majority of things I or other healthcare providers, recommend including best practices and evidence based medicine then they blame the healthcare or medical institution for not getting better",,"Healthcare like every other industry is facing challenges of personnel and technology, security and safety of providers. We try to best help each patient that we encounter. However, their pushback creates strife and disgruntlement amongst the healthcare team. They think it’s weird against them, but in reality it is really.",Assumed care of five patients awaiting dis,Encounter with new patients,Meetings,Patient,Patience,Meeting,Meeting coding review,Patient,Patient,Patient,Patient,Patience,Commute home,Eat dinner,Chart,Charting,Charting,Charting,Pre-record review,s,Sleep,Sleep,Sleep,Exercise,6,4,4,5,5,3,"Allow one more week of conservative therapy, then reassess",6,2,2,2,1,1,1,4,4,2,2,2,1,1,1,5,3,5,3,4,2,4,5,4,3,0,0,90,10,5,4,4,32,Emergency med/internal med/neurocritical care,Physician,21,NA,85,4,Doctorate,1,23,,48,1,,1,,,8,5,7,3,3,VhRzlwTAYtih,Control_Active,1,1,1,1,2,7,8,2,1,NA,5,1,3,4,3,3,3,4,5,3,3,1,Noncompliant with treatment plan as outlined if his pain is so severe and is limiting his daily activities then this should not have slipped his mind
